frame,rgb,depth_stem,person_px,gtmc_px,valid_px,static_support_px,fp_px,fp_inside_union_px,fp_outside_union_px,fn_px,fp_outside_w5_px,fp_outside_w15_px,fp_outside_w30_px
130,rgb/1548266474.24258.png,1548266474.25343,51010,17998,263939,246843,43103,43103,0,13533,8533,4774,3136
131,rgb/1548266474.27603.png,1548266474.28679,52065,67949,264008,199394,13436,13436,0,30757,9027,5460,3780
132,rgb/1548266474.30928.png,1548266474.32017,53991,35771,264371,230344,44992,44992,0,29463,9228,6097,4523
133,rgb/1548266474.34306.png,1548266474.35354,54185,70909,263663,196232,14769,14769,0,32330,10128,6997,5594
134,rgb/1548266474.37664.png,1548266474.38691,54995,52548,262176,212491,14953,14953,0,14660,11113,6954,5575
135,rgb/1548266474.41035.png,1548266474.42028,57083,71369,263410,195898,16278,16278,0,31733,12216,7994,6675
136,rgb/1548266474.44386.png,1548266474.45365,58038,54173,262089,210991,16600,16600,0,14687,12268,11205,6554
137,rgb/1548266474.47738.png,1548266474.48702,59966,53559,261758,211040,18144,18144,0,13299,14243,12051,7537
138,rgb/1548266474.51090.png,1548266474.52038,60978,56318,261503,208249,18729,18729,0,15575,14690,12517,7926
139,rgb/1548266474.54441.png,1548266474.55375,60156,56440,262103,208904,18346,18346,0,16000,15369,12827,8067
140,rgb/1548266474.57793.png,1548266474.58711,61441,46037,261138,217194,19176,19176,0,5750,15900,13035,8254
141,rgb/1548266474.61093.png,1548266474.62048,61591,70851,261777,193869,19759,19759,0,29427,15929,13043,8801
142,rgb/1548266474.64439.png,1548266474.65385,63857,42276,260688,220409,21895,21895,0,2573,16173,13048,9280
143,rgb/1548266474.67774.png,1548266474.68722,65139,44701,259874,216914,22238,22238,0,4401,16720,13372,9425
144,rgb/1548266474.71126.png,1548266474.72060,64246,44035,262250,220035,20801,20801,0,2270,16360,13969,9669
145,rgb/1548266474.74478.png,1548266474.75397,63346,43653,260127,218365,20145,20145,0,2338,15690,13447,10183
146,rgb/1548266474.77829.png,1548266474.78734,64351,45093,259794,216545,20963,20963,0,4484,15675,13180,10046
147,rgb/1548266474.81181.png,1548266474.82071,64732,50752,260407,211896,21156,21156,0,9906,16280,14234,10052
148,rgb/1548266474.84532.png,1548266474.85408,64799,46408,261271,216807,20843,20843,0,3678,16408,14372,10597
149,rgb/1548266474.87883.png,1548266474.88745,64192,51341,259722,211087,21405,21405,0,9426,16300,14398,10397
150,rgb/1548266474.91235.png,1548266474.92082,65467,45173,260950,217673,21457,21457,0,3219,16254,14322,10080
151,rgb/1548266474.94586.png,1548266474.95418,67834,46895,261878,216448,22375,22375,0,3114,16690,14764,12005
152,rgb/1548266474.97938.png,1548266474.98755,69361,49753,259767,212576,23114,23114,0,4933,17828,15884,12153
153,rgb/1548266475.01292.png,1548266475.02092,68117,156,259309,259166,63834,63834,0,143,18010,15370,11444
154,rgb/1548266475.04649.png,1548266475.05429,69455,7072,260869,254104,64868,64868,0,6765,20042,16670,11896
155,rgb/1548266475.08012.png,1548266475.08766,66318,6651,260054,254435,62159,62159,0,5224,20427,16616,11801
156,rgb/1548266475.11366.png,1548266475.12103,68479,1022,261000,259979,62857,62857,0,1021,22479,17108,12008
157,rgb/1548266475.14718.png,1548266475.15439,69531,1822,259811,258073,63829,63829,0,1738,23789,14383,11795
158,rgb/1548266475.18069.png,1548266475.18776,66206,2176,261674,259602,62526,62526,0,2072,61428,13663,11237
159,rgb/1548266475.21421.png,1548266475.22112,64505,13506,258923,247361,60321,60321,0,10867,59949,13535,11944
160,rgb/1548266475.24790.png,1548266475.25449,68012,3245,261212,258159,62833,62833,0,3053,61335,13961,12235
161,rgb/1548266475.28142.png,1548266475.28786,66722,1628,260716,259232,62191,62191,0,1446,60543,13767,12193
162,rgb/1548266475.31494.png,1548266475.32123,66525,1784,261794,260094,61677,61677,0,1638,59877,13088,11531
163,rgb/1548266475.34845.png,1548266475.35460,65687,49508,261221,214846,60902,60902,0,46124,58036,12969,10850
164,rgb/1548266475.38234.png,1548266475.38797,64570,1364,261821,260584,59810,59810,0,1168,57339,12925,10804
165,rgb/1548266475.41592.png,1548266475.42134,64576,8283,260652,253212,59951,59951,0,7268,57733,12913,10742
166,rgb/1548266475.44943.png,1548266475.45471,65252,15306,260570,246998,59915,59915,0,12733,57164,13183,10993
167,rgb/1548266475.48295.png,1548266475.48807,63624,16556,261018,246192,58080,58080,0,14648,25090,12957,10549
168,rgb/1548266475.51640.png,1548266475.52144,63515,16590,259807,244832,57241,57241,0,14126,24709,20172,9939
169,rgb/1548266475.54992.png,1548266475.55483,61786,19722,258433,241133,56223,56223,0,16732,23740,19122,9260
170,rgb/1548266475.58356.png,1548266475.58819,61140,1851,258521,256804,57239,57239,0,1717,21947,17783,8847
171,rgb/1548266475.61658.png,1548266475.62156,61019,3224,257393,254336,56589,56589,0,3020,19766,17159,9186
172,rgb/1548266475.65010.png,1548266475.65492,58860,41735,260424,220617,18828,18828,0,2888,17695,16232,9375
173,rgb/1548266475.68361.png,1548266475.68829,61063,35231,259835,226419,27721,27721,0,3886,18999,17536,11279
174,rgb/1548266475.71713.png,1548266475.72166,62560,37508,260203,224520,23589,23589,0,905,19945,19133,12709
175,rgb/1548266475.75051.png,1548266475.75504,60991,31349,258227,228078,28226,28226,0,980,19116,18502,12253
176,rgb/1548266475.78400.png,1548266475.78837,61565,31661,258748,228462,27866,27866,0,1290,19206,18098,12645
177,rgb/1548266475.81751.png,1548266475.82174,60742,34515,262151,229350,23289,23289,0,486,19079,18119,12602
178,rgb/1548266475.85103.png,1548266475.85511,58924,31955,260265,229702,27186,27186,0,3113,21058,19262,14464
179,rgb/1548266475.88454.png,1548266475.88848,56722,38802,259661,223833,50608,50608,0,33670,20575,18676,14476
180,rgb/1548266475.91806.png,1548266475.92185,57578,2097,260236,258419,52248,52248,0,1716,21710,19491,14784
181,rgb/1548266475.95160.png,1548266475.95522,59228,2958,260294,257664,54085,54085,0,2630,24114,21267,16303
182,rgb/1548266475.98554.png,1548266475.98859,57225,2175,260232,258263,53165,53165,0,1904,23642,20531,15630
183,rgb/1548266476.01911.png,1548266476.02196,57076,32096,261370,230967,51383,51383,0,29696,26443,20583,8412
184,rgb/1548266476.05257.png,1548266476.05533,58307,10295,260722,251186,52220,52220,0,8549,49176,21518,8061
185,rgb/1548266476.08564.png,1548266476.08869,58346,4348,261587,257516,53926,53926,0,2630,50851,21204,8966
186,rgb/1548266476.11945.png,1548266476.12206,59065,28794,261806,234741,52284,52284,0,25056,49943,20504,8867
187,rgb/1548266476.15312.png,1548266476.15543,59783,34891,261287,228621,52148,52148,0,30858,49925,20035,8252
188,rgb/1548266476.18669.png,1548266476.18881,59143,35856,260417,226829,51625,51625,0,31013,49924,20401,7792
189,rgb/1548266476.22021.png,1548266476.22217,59264,22869,260619,238713,52977,52977,0,20159,50385,21344,7749
190,rgb/1548266476.25372.png,1548266476.25554,60804,35779,261362,227239,53626,53626,0,32097,50652,24232,8093
191,rgb/1548266476.28724.png,1548266476.28891,61896,31846,261638,231430,56361,56361,0,29890,51613,25663,8164
192,rgb/1548266476.32075.png,1548266476.32228,62908,31725,260759,230426,57328,57328,0,30333,52840,26974,8468
193,rgb/1548266476.35406.png,1548266476.35564,63119,28062,260940,234364,57499,57499,0,26576,53388,32317,8538
194,rgb/1548266476.38739.png,1548266476.38901,62344,25448,261575,237510,56868,56868,0,23934,53360,48603,10305
195,rgb/1548266476.42090.png,1548266476.42238,62839,29987,261951,233266,55838,55838,0,27551,53498,50710,9421
196,rgb/1548266476.45442.png,1548266476.45575,61914,24934,261783,238630,56973,56973,0,23136,54726,50842,9904
197,rgb/1548266476.48792.png,1548266476.48912,61648,27103,262929,237518,55420,55420,0,24564,54263,50083,10336
198,rgb/1548266476.52141.png,1548266476.52250,60556,25893,265315,240808,55796,55796,0,23907,55170,25253,10117
199,rgb/1548266476.55495.png,1548266476.55587,61053,27157,263898,238129,55704,55704,0,25769,55132,24212,9970
200,rgb/1548266476.58846.png,1548266476.58925,59473,26258,263715,238752,53945,53945,0,24963,53419,23554,9486
201,rgb/1548266476.62196.png,1548266476.62262,59433,26982,264926,238999,54684,54684,0,25836,53919,23226,9643
202,rgb/1548266476.65548.png,1548266476.65599,54613,25425,265573,241281,51062,51062,0,24292,50575,19270,6317
203,rgb/1548266476.68899.png,1548266476.68936,53972,17377,264683,247965,49959,49959,0,16718,49671,18280,6474
204,rgb/1548266476.72253.png,1548266476.72273,54549,15168,262517,247759,49457,49457,0,14725,49295,17882,6678
205,rgb/1548266476.75605.png,1548266476.75610,52622,21933,262705,241680,47991,47991,0,21025,47365,16784,6263
206,rgb/1548266476.78956.png,1548266476.78947,53005,22013,264598,243553,48579,48579,0,20880,48514,16345,6146
207,rgb/1548266476.82310.png,1548266476.82284,54209,21688,263443,242708,48849,48849,0,20735,47903,14746,5851
208,rgb/1548266476.85659.png,1548266476.85621,52642,7733,264625,257426,48421,48421,0,7193,17072,13438,6389
209,rgb/1548266476.89011.png,1548266476.88957,52775,19668,264037,245270,47542,47542,0,18753,14677,11561,8632
210,rgb/1548266476.92363.png,1548266476.92291,52291,18287,264512,247050,47456,47456,0,17437,12745,10293,8426
211,rgb/1548266476.95714.png,1548266476.95627,54182,5476,267477,262459,49871,49871,0,4881,11241,9379,7531
212,rgb/1548266476.99066.png,1548266476.98963,49322,3217,267669,264521,45732,45732,0,3023,5873,5040,4067
213,rgb/1548266477.02417.png,1548266477.02300,48910,57699,267847,212868,6191,6191,0,15899,2730,2554,2182
214,rgb/1548266477.05769.png,1548266477.05637,50143,57649,267897,212737,6177,6177,0,14541,1269,1269,1012
215,rgb/1548266477.09124.png,1548266477.08974,51324,55557,266657,213853,7045,7045,0,12162,1025,1025,611
216,rgb/1548266477.12477.png,1548266477.12311,48766,53147,265117,214862,5769,5769,0,11763,964,964,451
217,rgb/1548266477.15827.png,1548266477.15647,49142,51748,267924,218798,6307,6307,0,9962,1112,1112,474
218,rgb/1548266477.19179.png,1548266477.18984,47413,52380,269126,219164,5064,5064,0,10526,1043,1043,191
219,rgb/1548266477.22531.png,1548266477.22322,46075,50486,268247,220280,4983,4983,0,9954,1043,1043,34
220,rgb/1548266477.25882.png,1548266477.25659,44682,49455,267486,220494,4238,4238,0,9487,1103,1103,1
221,rgb/1548266477.29222.png,1548266477.28995,44807,49893,267786,220441,4083,4083,0,9824,957,957,0
222,rgb/1548266477.32574.png,1548266477.32331,43704,47759,267893,222193,4086,4086,0,8978,885,862,0
223,rgb/1548266477.35945.png,1548266477.35668,44175,47552,267145,222014,4279,4279,0,8454,886,886,86
224,rgb/1548266477.39332.png,1548266477.39007,45818,44059,267382,225529,5209,5209,0,4429,736,736,261
225,rgb/1548266477.42684.png,1548266477.42342,45779,48398,267997,221515,4144,4144,0,7882,1104,1064,495
226,rgb/1548266477.46036.png,1548266477.45681,46989,3141,265013,262183,42707,42707,0,2799,1106,966,661
227,rgb/1548266477.49387.png,1548266477.49017,47574,1924,265620,263819,43637,43637,0,1801,1025,820,674
228,rgb/1548266477.52739.png,1548266477.52354,48811,43320,267935,226504,7078,7078,0,2815,2582,1449,1270
229,rgb/1548266477.56074.png,1548266477.55691,48358,1903,266818,265032,45090,45090,0,1766,6000,1831,1732
230,rgb/1548266477.59426.png,1548266477.59028,48339,3032,265305,262348,44374,44374,0,2957,8720,1525,1491
231,rgb/1548266477.62776.png,1548266477.62365,51033,1896,266449,264635,47279,47279,0,1814,13576,2062,2029
232,rgb/1548266477.66127.png,1548266477.65704,49395,5321,267652,262407,46139,46139,0,4775,17021,1945,1918
233,rgb/1548266477.69481.png,1548266477.69041,51088,6086,266109,260131,47569,47569,0,5970,5525,2163,2163
234,rgb/1548266477.72832.png,1548266477.72378,52099,5417,265700,260504,46748,46748,0,3375,16891,2066,2053
235,rgb/1548266477.76184.png,1548266477.75715,53203,3390,266567,263194,45681,45681,0,2039,14087,2169,2123
236,rgb/1548266477.79536.png,1548266477.79053,54821,444,263235,262793,43204,43204,0,442,9126,2021,1826
237,rgb/1548266477.82885.png,1548266477.82390,52669,2778,260824,258051,38751,38751,0,2773,4194,982,798
238,rgb/1548266477.86235.png,1548266477.85727,51553,34858,263259,230329,7596,7596,0,2531,3790,1331,1096
239,rgb/1548266477.89585.png,1548266477.89063,47062,28807,262841,235730,7474,7474,0,1027,1711,702,252
240,rgb/1548266477.92936.png,1548266477.92400,45023,26106,257425,233593,7270,7270,0,981,1048,587,298
241,rgb/1548266477.96284.png,1548266477.95737,43113,28976,258878,232415,6880,6880,0,4469,893,391,285
242,rgb/1548266477.99636.png,1548266477.99074,39150,27992,258587,232977,5458,5458,0,5768,505,243,243
243,rgb/1548266478.02987.png,1548266478.02411,37407,11919,253707,242673,17669,17669,0,5841,500,240,240
244,rgb/1548266478.06343.png,1548266478.05747,35601,24780,254350,232246,5422,5422,0,5945,702,234,233
